"filename", "language", "JSON", "Dart", "HTML", "YAML", "Markdown", "Groovy", "Properties", "XML", "Swift", "C++", "comment", "blank", "total"
"c:\sharky\flutter_plant_market\README.md", "Markdown", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7, 14
"c:\sharky\flutter_plant_market\analysis_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\sharky\flutter_plant_market\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 5, 13, 79
"c:\sharky\flutter_plant_market\android\app\google-services.json", "JSON", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"c:\sharky\flutter_plant_market\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\sharky\flutter_plant_market\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 6, 1, 39
"c:\sharky\flutter_plant_market\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\sharky\flutter_plant_market\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\sharky\flutter_plant_market\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\sharky\flutter_plant_market\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\sharky\flutter_plant_market\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\sharky\flutter_plant_market\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\sharky\flutter_plant_market\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\sharky\flutter_plant_market\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\sharky\flutter_plant_market\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"c:\sharky\flutter_plant_market\assets\lotties\night.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\sharky\flutter_plant_market\assets\lotties\rain.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\sharky\flutter_plant_market\assets\lotties\train.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\sharky\flutter_plant_market\assets\lotties\tree_1.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\sharky\flutter_plant_market\assets\lotties\tree_2.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\sharky\flutter_plant_market\assets\lotties\tree_3.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\sharky\flutter_plant_market\assets\lotties\tree_4.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\sharky\flutter_plant_market\assets\svg\apple.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 3, 19
"c:\sharky\flutter_plant_market\assets\svg\binoculars.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 1, 1, 39
